GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Digester,org.apache.commons.digester,RulesBase,0,230,0,40,0,65,0,31,0,11
Digester,org.apache.commons.digester,SetNestedPropertiesRule.AnyChildRule,62,144,7,13,9,32,6,8,0,4
Digester,org.apache.commons.digester,NodeCreateRule.NodeBuilder,58,166,3,11,14,40,4,8,1,4
Digester,org.apache.commons.digester,ParserFeatureSetterFactory,26,0,4,0,11,0,5,0,3,0
Digester,org.apache.commons.digester,RegexRules.RegisteredRule,0,12,0,0,0,4,0,1,0,1
Digester,org.apache.commons.digester,PathCallParamRule,0,48,1,1,0,14,1,3,0,3
Digester,org.apache.commons.digester,CallMethodRule,111,647,11,63,21,139,15,42,5,15
Digester,org.apache.commons.digester,SetPropertyRule,30,147,6,10,8,34,6,6,1,3
Digester,org.apache.commons.digester,Digester,945,1878,83,127,188,456,113,137,50,95
Digester,org.apache.commons.digester,SimpleRegexMatcher,96,126,7,22,12,30,9,12,2,4
Digester,org.apache.commons.digester,SetNestedPropertiesRule,17,185,0,4,6,40,4,10,4,8
Digester,org.apache.commons.digester,BeanPropertySetterRule,28,144,5,7,9,32,6,8,2,6
Digester,org.apache.commons.digester,FactoryCreateRule,62,342,11,27,23,75,22,17,11,9
Digester,org.apache.commons.digester,RuleSetBase,0,9,0,0,0,3,0,2,0,2
Digester,org.apache.commons.digester,AbstractRulesImpl,28,14,2,2,9,5,7,2,5,2
Digester,org.apache.commons.digester,SetNestedPropertiesRule.AnyChildRules,21,77,2,6,8,21,9,7,7,5
Digester,org.apache.commons.digester,RegexMatcher,0,3,0,0,0,1,0,1,0,1
Digester,org.apache.commons.digester,SetPropertiesRule,26,351,5,35,5,72,7,22,2,7
Digester,org.apache.commons.digester,RegexRules,8,89,1,7,2,24,2,9,1,6
Digester,org.apache.commons.digester,CallParamRule,9,221,2,16,4,52,4,15,2,8
Digester,org.apache.commons.digester,SetTopRule,55,138,3,5,9,30,7,5,4,4
Digester,org.apache.commons.digester,WithDefaultsRulesWrapper,56,80,6,6,16,23,11,7,6,6
Digester,org.apache.commons.digester,SetRootRule,65,127,4,4,11,28,8,4,4,4
Digester,org.apache.commons.digester,SetNextRule,55,138,3,5,9,30,7,5,4,4
Digester,org.apache.commons.digester,ObjectCreateRule,33,131,5,3,13,30,9,6,5,6
Digester,org.apache.commons.digester,ObjectParamRule,0,98,0,4,0,27,0,6,0,4
Digester,org.apache.commons.digester,Substitutor,0,3,0,0,0,1,0,1,0,1
Digester,org.apache.commons.digester,AbstractObjectCreationFactory,3,10,0,0,1,4,1,2,1,2
Digester,org.apache.commons.digester,ExtendedBaseRules.new Comparator() {...},8,30,4,2,4,6,3,2,0,2
Digester,org.apache.commons.digester,Rule,12,38,0,0,3,19,1,12,1,12
Digester,org.apache.commons.digester,NodeCreateRule,15,113,1,11,4,33,2,10,1,5
Digester,org.apache.commons.digester,ExtendedBaseRules,0,433,2,80,0,107,2,45,0,6
Digester,org.apache.commons.digester.plugins.strategies,FinderFromDfltClass,3,53,1,3,1,17,1,5,0,4
Digester,org.apache.commons.digester.plugins.strategies,FinderFromResource,68,47,1,3,5,18,1,6,0,5
Digester,org.apache.commons.digester.plugins.strategies,FinderFromDfltResource,0,42,0,2,0,13,0,5,0,4
Digester,org.apache.commons.digester.plugins.strategies,FinderFromMethod,0,28,0,2,0,10,0,5,0,4
Digester,org.apache.commons.digester.plugins.strategies,FinderFromFile,70,42,0,2,6,17,0,5,0,4
Digester,org.apache.commons.digester.plugins.strategies,FinderSetProperties,7,30,3,1,1,11,2,4,0,4
Digester,org.apache.commons.digester.plugins.strategies,LoaderFromStream,0,71,1,3,0,20,1,4,0,3
Digester,org.apache.commons.digester.plugins.strategies,FinderFromDfltMethod,0,28,0,2,0,10,0,5,0,4
Digester,org.apache.commons.digester.plugins.strategies,FinderFromClass,16,63,2,6,3,23,2,6,0,4
Digester,org.apache.commons.digester.plugins.strategies,LoaderSetProperties,0,27,1,1,0,7,1,2,0,2
Digester,org.apache.commons.digester.plugins.strategies,LoaderFromClass,39,81,2,2,4,21,2,4,0,4
Digester,org.apache.commons.digester.plugins,PluginCreateRule,135,669,21,53,32,145,22,28,2,11
Digester,org.apache.commons.digester.plugins,LogUtils,3,9,0,2,1,3,1,2,1,1
Digester,org.apache.commons.digester.plugins,PluginDeclarationRule,34,79,4,6,7,24,4,4,0,3
Digester,org.apache.commons.digester.plugins,PluginInvalidInputException,18,7,0,0,7,3,3,1,3,1
Digester,org.apache.commons.digester.plugins,RuleFinder,0,3,0,0,0,1,0,1,0,1
Digester,org.apache.commons.digester.plugins,PluginAssertionFailure,25,0,0,0,10,0,4,0,4,0
Digester,org.apache.commons.digester.plugins,Declaration,75,162,9,11,12,43,10,9,1,8
Digester,org.apache.commons.digester.plugins,RulesFactory,3,0,0,0,1,0,1,0,1,0
Digester,org.apache.commons.digester.plugins,PluginException,18,7,0,0,7,3,3,1,3,1
Digester,org.apache.commons.digester.plugins,PluginContext,4,130,0,2,2,32,1,9,1,8
Digester,org.apache.commons.digester.plugins,RuleLoader,0,3,0,0,0,1,0,1,0,1
