GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons JXPath,org.apache.commons.jxpath.ri.model.dynamic,DynamicAttributeIterator,14,0,0,0,5,0,2,0,2,0
Commons JXPath,org.apache.commons.jxpath.ri.model.dynamic,DynamicPointerFactory,0,55,0,6,0,18,0,7,0,4
Commons JXPath,org.apache.commons.jxpath.ri.model.dynamic,DynamicPropertyPointer,99,358,16,42,19,87,13,33,0,17
Commons JXPath,org.apache.commons.jxpath.ri.model.dynamic,DynamicPointer,13,105,5,9,3,25,7,14,2,12
Commons JXPath,org.apache.commons.jxpath.ri.model.dynamic,DynamicPropertyIterator,7,0,0,0,2,0,1,0,1,0
Commons JXPath,org.apache.commons.jxpath.xml,JDOMParser,12,26,1,1,3,8,1,2,0,2
Commons JXPath,org.apache.commons.jxpath.xml,XMLParser2,0,63,0,0,0,25,0,13,0,13
Commons JXPath,org.apache.commons.jxpath.xml,DOMParser,7,34,0,0,2,10,0,2,0,2
Commons JXPath,org.apache.commons.jxpath.xml,DocumentContainer,70,128,7,9,13,40,9,8,3,6
Commons JXPath,org.apache.commons.jxpath.util,KeyManagerUtils,3,11,0,2,1,1,1,2,1,1
Commons JXPath,org.apache.commons.jxpath.util,KeyManagerUtils.SingleNodeExtendedKeyManager,7,23,0,0,1,7,1,2,1,2
Commons JXPath,org.apache.commons.jxpath.util,TypeUtils.new HashMap() {...},8,91,8,8,0,10,8,1,0,1
Commons JXPath,org.apache.commons.jxpath.util,BasicTypeConverter.ValueNodeSet,50,0,4,0,11,0,6,0,4,0
Commons JXPath,org.apache.commons.jxpath.util,MethodLookupUtils,88,402,32,70,23,116,30,27,1,5
Commons JXPath,org.apache.commons.jxpath.util,ValueUtils,370,578,58,92,78,168,46,49,1,19
Commons JXPath,org.apache.commons.jxpath.util,JXPath11CompatibleTypeConverter,12,17,3,3,1,2,3,3,1,2
Commons JXPath,org.apache.commons.jxpath.util,BasicTypeConverter,544,707,125,173,80,153,95,63,0,9
Commons JXPath,org.apache.commons.jxpath.util,ReverseComparator,0,13,0,0,0,4,0,3,0,3
Commons JXPath,org.apache.commons.jxpath.util,BasicTypeConverter.ValuePointer,93,0,12,0,21,0,14,0,8,0
Commons JXPath,org.apache.commons.jxpath.util,TypeUtils,3,34,0,2,1,8,1,7,1,6
Commons JXPath,org.apache.commons.jxpath.ri.model,NodePointer,268,684,41,113,46,160,47,82,14,38
Commons JXPath,org.apache.commons.jxpath.ri.model,VariablePointer.new NullPointer() {...},14,8,0,0,2,1,1,1,1,1
Commons JXPath,org.apache.commons.jxpath.ri.model,VariablePointerFactory.VariableContextWrapper,0,9,0,0,0,4,0,2,0,2
Commons JXPath,org.apache.commons.jxpath.ri.model,VariablePointer,177,421,35,47,30,107,35,35,5,24
Commons JXPath,org.apache.commons.jxpath.ri.model,VariablePointerFactory,0,51,0,6,0,14,0,8,0,5
Commons JXPath,org.apache.commons.jxpath.ri.parser,XPathParser.JJCalls,0,3,0,0,0,1,0,1,0,1
Commons JXPath,org.apache.commons.jxpath.ri.parser,TokenMgrError,187,0,18,0,41,0,21,0,8,0
Commons JXPath,org.apache.commons.jxpath.ri.parser,XPathParserConstants,360,0,0,0,1,0,1,0,1,0
Commons JXPath,org.apache.commons.jxpath.ri.parser,Token,3,9,0,0,1,3,1,2,1,2
Commons JXPath,org.apache.commons.jxpath.ri.parser,XPathParserTokenManager,1976,4269,445,427,405,624,304,305,9,36
Commons JXPath,org.apache.commons.jxpath.ri.parser,XPathParser,3901,5822,1353,1084,332,1548,900,619,11,238
Commons JXPath,org.apache.commons.jxpath.ri.parser,ParseException,377,0,34,0,67,0,26,0,5,0
Commons JXPath,org.apache.commons.jxpath.ri.parser,SimpleCharStream,661,315,38,18,109,70,38,19,14,14
Commons JXPath,org.apache.commons.jxpath.ri,QName,2,84,1,9,1,19,1,11,0,7
Commons JXPath,org.apache.commons.jxpath.ri,EvalContext,81,279,15,64,20,88,14,48,4,18
Commons JXPath,org.apache.commons.jxpath.ri,JXPathContextReferenceImpl,225,769,25,71,36,205,27,66,4,41
Commons JXPath,org.apache.commons.jxpath.ri,Parser,86,32,4,0,18,8,5,2,3,2
Commons JXPath,org.apache.commons.jxpath.ri,JXPathCompiledExpression,88,12,0,0,23,5,12,2,12,2
Commons JXPath,org.apache.commons.jxpath.ri,JXPathContextFactoryReferenceImpl,0,9,0,0,0,3,0,2,0,2
Commons JXPath,org.apache.commons.jxpath.ri,NamespaceResolver,78,118,20,14,22,29,15,15,3,10
